,/occupation/occupation_name_short_singular,/occupation/quick_facts/qf_median_pay_annual/value,/occupation/what_they_do/section_body,/occupation/how_to_become_one/section_body,/occupation/summary_work_environment,/occupation/similar_occupations/section_body
267,Psychologist,92740.0,"Psychologists study cognitive, emotional, and social processes and behavior by observing, interpreting, and recording how people relate to one another and to their environments. They use their findings to help improve processes and behaviors.  Study behavior and brain function by observing, interviewing, and surveying individuals Clinical and counseling psychologists ","Psychologists typically need an advanced degree, such as a master’s or doctoral degree, in psychology. Licensing requirements vary by state and position.   Analytical skills. ","Psychologists work in a variety of settings, such as schools, hospitals, and private practice. Most are full time, but part-time work is common. Some work evenings or weekends to accommodate their clients' schedules.","psychologists.    Market research analysts study consumer preferences, business conditions, and other factors to assess potential sales of a product or service. Marriage and family therapists diagnose and treat cognitive, behavioral, or similar disorders in the context of couples and other relationships. Physicians and surgeons diagnose and treat injuries or illnesses and address health maintenance. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level. School counselors help students develop academic and social skills. Career counselors and advisors help people choose a path to employment. Social workers help people prevent and cope with problems in their everyday lives. Sociologists study society and social behavior by examining the groups, cultures, social institutions, and processes that develop when people interact and work together. Substance abuse, behavioral disorder, and mental health counselors advise people on a range of issues, such as those relating to alcoholism, addictions, or depression. Survey researchers design and conduct surveys and analyze data. Training and development specialists plan and administer programs that improve the skills and knowledge of their employees."
268,Public Relations or Fundraising Manager,130480.0,Public relations managers plan and direct the creation of material that will enhance the public image of their employer or client. Fundraising managers coordinate campaigns that bring in donations for their organization.  Develop their organization’s or client’s corporate image and identity Public relations managers ,"Public relations and fundraising managers typically need at least a bachelor’s degree, and some positions may require a master’s degree. Many years of related work experience are also necessary.   Interpersonal skills. ","Public relations and fundraising managers generally work in offices during regular business hours. However, many of these managers travel to give speeches and to attend meetings and community activities. Some work more than 40 hours per week.","public relations and fundraising managers.    Advertising sales agents sell promotional space to businesses and individuals. Advertising, promotions, and marketing managers plan programs to generate interest in products or services. Fundraisers organize activities to raise money and other kinds of donations for an organization. Market research analysts study consumer preferences, business conditions, and other factors to assess potential sales of a product or service. Special effects artists and animators create images that appear to move and visual effects for various forms of media and entertainment. Public relations specialists create and maintain a positive public image for the clients they represent."
269,Public Relations Specialist,66750.0,"Public relations specialists create and maintain a positive public image for the individuals, groups, or organizations they represent. They craft media releases and develop social media programs to shape public perception of their clients and to increase awareness of each client’s work and goals.  Write press releases and prepare information for the media communications specialists ","Public relations specialists typically need a bachelor’s degree to enter the occupation. Employers may prefer to hire candidates who have studied a particular field, such as communications or business.   Interpersonal skills. ","Public relations specialists work for a variety of organizations, including schools, media buyers, and professional associations. They usually work in offices, but they also deliver speeches, attend meetings and community activities, and occasionally travel.","public relations specialists.    Advertising, promotions, and marketing managers plan programs to generate interest in products or services. Advertising sales agents sell promotional space to businesses and individuals. Editors plan, review, and revise content for publication. Market research analysts study consumer preferences, business conditions, and other factors to assess potential sales of a product or service. Meeting, convention, and event planners arrange all aspects of events and professional gatherings. Public relations managers direct the creation of materials that will enhance the public image of their employer or client. Fundraising managers coordinate campaigns that bring in donations for their organization. Wholesale and manufacturing sales representatives sell goods for wholesalers or manufacturers to businesses, government agencies, and other organizations. Writers and authors develop written content for various types of media."
270,Public Safety Telecommunicator,48890.0,"Public safety telecommunicators, including 911 operators and fire dispatchers, answer emergency and nonemergency calls and provide resources to assist those in need.  Answer 9-1-1 emergency and nonemergency requests from different sources, such as phone calls, text messages, social media, and alarm systems 911 operators  ",Public safety telecommunicators typically need a high school diploma to enter the occupation and then are trained on the job. Many states and localities require these workers to become certified.   Ability to multitask. ,"Public safety telecommunicators work in emergency communication centers called public safety answering points (PSAPs). These workers usually have shifts that include evenings, weekends, and holidays to provide round-the-clock coverage. The pressure to respond quickly and calmly in alarming situations may be stressful.","public safety telecommunicators.    Air traffic controllers coordinate the movement of aircraft to maintain safe distances between them. Customer service representatives interact with customers to handle complaints, process orders, and answer questions. Emergency medical technicians (EMTs) and paramedics assess injuries and illnesses, provide emergency medical care, and may transport patients to medical facilities. Power plant operators, distributors, and dispatchers control the systems that generate and distribute electric power. Security guards and gambling surveillance officers protect property from illegal activity."
271,"Purchasing Manager, Buyer, or Purchasing Agent",77180.0,"Buyers and purchasing agents buy products and services for organizations to use or resell. They evaluate suppliers, negotiate contracts, and review the quality of products. Purchasing managers oversee the work of buyers and purchasing agents and typically handle more complex procurement tasks.  Evaluate suppliers on the basis of the price, quality, and speed of delivery of their products and services Purchasing agents and buyers of farm products ","Purchasing managers, buyers, and purchasing agents typically need a bachelor’s degree, although some employers hire candidates who have a high school diploma. Purchasing managers also need several years of related work experience.   Analytical skills. ",Purchasing managers and buyers and purchasing agents usually work in an office setting. Most work full time. Travel may be required.,"purchasing managers, buyers, and purchasing agents.    Advertising, promotions, and marketing managers plan programs to generate interest in products or services. Bookkeeping, accounting, and auditing clerks compute, classify, and record data to help organizations keep complete and accurate financial records. Financial clerks do administrative work, help customers, and carry out transactions that involve money. Financial managers create financial reports, direct investment activities, and develop plans for the long-term financial goals of their organization. Food service managers are responsible for the daily operation of restaurants or other establishments that prepare and serve food and beverages. Lodging managers ensure that guests have a pleasant experience at an accommodations facility. They also plan, direct, or coordinate activities to ensure that the facility is efficient and profitable. Logisticians analyze and coordinate an organization’s supply chain. Material recording clerks track product information in order to keep businesses and supply chains on schedule. Transportation, storage, and distribution managers plan, direct, or coordinate the movement of people and goods. Wholesale and manufacturing sales representatives sell goods for wholesalers or manufacturers to businesses, government agencies, and other organizations."
272,Quality Control Inspector,45850.0,Quality control inspectors examine products and materials for defects or deviations from specifications.  Read blueprints and specifications Materials inspectors ,Quality control inspectors typically need a high school diploma to enter the occupation and receive on-the-job training once employed.   Detail oriented. ,"Many quality control inspectors work in manufacturing. Most work full time, and overtime may be required to meet production deadlines.","quality control inspectors.    Construction and building inspectors ensure that construction meets building codes and ordinances, zoning regulations, and contract specifications. Fire inspectors detect fire hazards, recommend prevention measures, ensure compliance with state and local fire regulations, and investigate causes of fires. Industrial engineers design, develop, and test integrated systems for managing industrial production processes. Industrial engineering technologists and technicians help engineers solve problems affecting manufacturing layout or production. Logisticians analyze and coordinate an organization’s supply chain."
273,Radiation Therapist,98300.0,Radiation therapists administer doses of radiation to patients who have cancer or other serious diseases.  Explain treatment plans to the patient and answer questions about treatment  ,"Radiation therapists typically need an associate’s or bachelor’s degree in radiation therapy. Most states require radiation therapists to be licensed or certified, which often includes passing a national certification exam.   Compassion.  ","Radiation therapists work in hospitals, offices of physicians, and outpatient centers. Most radiation therapists work full time.","radiation therapists.    Dental hygienists examine patients for signs of oral diseases, such as gingivitis, and provide preventive care, including oral hygiene. Diagnostic medical sonographers and cardiovascular technologists and technicians operate special equipment to create images or to conduct tests. Medical dosimetrists calculate doses of radiation and design and oversee treatment plans for patients with cancer and other serious diseases. Nuclear medicine technologists prepare and administer radioactive drugs for imaging or treatment. Nursing assistants provide basic care and help patients with activities of daily living. Orderlies transport patients and clean treatment areas. Physical therapist assistants and aides are supervised by physical therapists to help patients regain movement and manage pain after injuries and illnesses. Radiologic technologists perform diagnostic imaging examinations on patients. MRI technologists operate magnetic resonance imaging (MRI) scanners to create diagnostic images. Registered nurses (RNs) provide and coordinate patient care and educate patients and the public about various health conditions. Respiratory therapists care for patients who have trouble breathing—for example, because of a chronic condition such as asthma."
274,Radiologic or MRI Technologist,76020.0,"Radiologic technologists, also known as radiographers, perform x rays and other diagnostic imaging examinations on patients. MRI technologists operate magnetic resonance imaging (MRI) scanners to create diagnostic images.  Adjust and maintain imaging equipment radiographers ","Radiologic technologists and MRI technologists typically need an associate’s degree. MRI technologists may start out as radiologic technologists. Most states require radiologic technologists to be licensed or certified, but few states require licensure for MRI technologists. Regardless of state requirements, employers typically require or prefer to hire technologists who are certified.   Detail oriented. ","Radiologic and MRI technologists work in healthcare facilities, and more than half work in hospitals. Most radiologic and MRI technologists work full time.",radiologic and MRI technologists.    Diagnostic medical sonographers and cardiovascular technologists and technicians operate special equipment to create images or to conduct tests. Medical dosimetrists calculate doses of radiation and design and oversee treatment plans for patients with cancer and other serious diseases. Nuclear medicine technologists prepare and administer radioactive drugs for imaging or treatment. Radiation therapists administer doses of radiation to patients who have cancer or other serious diseases. Veterinary technologists and technicians do medical tests that help diagnose animals’ injuries and illnesses.
275,Railroad Worker,73580.0,"Railroad workers ensure that passenger and freight trains run on time and travel safely. Some workers drive trains, some coordinate the activities of the trains, and others operate signals and switches in the rail yard.  Check the mechanical condition of locomotives and make adjustments when necessary Conductors ",Workers in railroad occupations typically need a high school diploma or equivalent and several months of on-the-job training.   Communication skills ,"Nearly all railroad workers are employed in the rail transportation industry. Most work full time, and some work more than 40 hours per week.","railroad workers.    Bus drivers transport people between various places. Delivery truck drivers and driver/sales workers pick up, transport, and drop off packages and small shipments within a local region or urban area. Heavy and tractor-trailer truck drivers transport goods from one location to another. Material moving machine operators use equipment to transport objects. Water transportation workers operate and maintain vessels that take cargo and people over water."
276,Real Estate Broker or Sales Agent,56620.0,"Real estate brokers and sales agents help clients buy, sell, and rent properties. Although brokers and agents do similar work, brokers are licensed to manage their own real estate businesses. Sales agents must work with a real estate broker.  Solicit potential clients to buy, sell, and rent properties Real estate brokers ",Real estate brokers and sales agents typically need a high school diploma or equivalent to enter the occupation. They also must complete a number of real estate courses and pass a licensing exam. States typically require licensed agents to have experience before obtaining a broker’s license.   Business skills. ,"Most real estate brokers and sales agents are self-employed. Although they often work irregular hours, many are able to set their own schedules.","real estate brokers and sales agents.    Advertising sales agents sell promotional space to businesses and individuals. Property appraisers and assessors provide a value estimate on real estate and on tangible personal and business property. Insurance sales agents contact potential customers and sell one or more types of insurance. Loan officers evaluate, authorize, or recommend approval of loan applications. Property, real estate, and community association managers oversee many aspects of residential, commercial, or industrial properties. Securities, commodities, and financial services sales agents connect buyers and sellers in financial markets. Wholesale and manufacturing sales representatives sell goods for wholesalers or manufacturers to businesses, government agencies, and other organizations. Retail sales workers sell merchandise, spare and replacement parts, and equipment to customers. Personal financial advisors provide advice to help individuals manage their money and plan for their financial future."
277,Receptionist,35840.0,"Receptionists do administrative tasks, such as answering phones, greeting visitors, and providing general information about their organization.  Answer the telephone and take messages or forward calls  ","Although hiring requirements vary by industry and employer, receptionists typically need a high school diploma or equivalent and good communication skills.   Communication skills. ",Receptionists are employed in nearly every industry.,"receptionists.    Customer service representatives interact with customers to handle complaints, process orders, and answer questions. General office clerks perform a variety of clerical tasks, including answering telephones, typing documents, and filing records. Information clerks perform routine clerical duties, maintain records, collect data, and provide information to customers. Library technicians and assistants help librarians with all aspects of running a library. Secretaries and administrative assistants do routine clerical and organizational tasks. Tellers process routine transactions, such as cashing checks and depositing money, at a bank or credit union."
278,Recreational Therapist,57120.0,"Recreational therapists plan, direct, and coordinate recreation-based medical treatment programs to help maintain or improve patients’ physical, social, and emotional well-being. These therapists use a variety of techniques, including art expression; drama, music, and dance; sports and games; aquatics; and community outings.  Assess patients’ needs through observation, medical records, tests, and discussions with other healthcare workers and patients and their families  ",Recreational therapists typically need a bachelor’s degree to enter the occupation. Employers may require or prefer therapists to be certified.   Communication skills. ,"Recreational therapists work in a variety of settings, including hospitals, nursing homes, and government parks and recreation departments. Most work full time.","recreational therapists.    Occupational therapists evaluate and treat people who have injuries, illnesses, or disabilities to help them with vocational, daily living, and other skills that promote independence. Physical therapists help injured or ill people improve movement and manage pain. Rehabilitation counselors work with clients to overcome or manage the personal, social, or psychological effects of disabilities on employment or independent living. School counselors help students develop academic and social skills. Career counselors and advisors help people choose a path to employment. Speech-language pathologists assess and treat people who have communication disorders. Special education teachers work with students who have a wide range of learning, mental, emotional, and physical disabilities. Athletic trainers specialize in preventing, diagnosing, and treating muscle and bone injuries and illnesses. Exercise physiologists develop fitness and exercise programs to help people improve their health. Social workers help people prevent and cope with problems in their everyday lives."
279,Recreation Worker,34410.0,"Recreation workers organize, conduct, and promote a variety of group activities for leisure and other purposes. Activities may include arts and crafts, sports, or music.  Organize, conduct, and promote recreational activities camp counselors ","Recreation workers typically need at least a high school diploma or the equivalent, although requirements may vary by type of job. Once hired, these workers typically need a short period of on-the-job training.   Communication skills. ","Recreation workers are employed in a variety of settings, including recreation centers, parks, and summer camps. Most work full time, but many work part-time, irregular, or seasonal hours.","recreation workers.    Athletic trainers specialize in preventing, diagnosing, and treating muscle and bone injuries and illnesses. Fitness trainers and instructors lead, instruct, and motivate individuals or groups in exercise activities. Meeting, convention, and event planners arrange all aspects of events and professional gatherings. Recreational therapists plan, direct, and coordinate recreation-based medical treatment programs for people with disabilities, injuries, or illnesses. Rehabilitation counselors work with clients to overcome or manage the personal, social, or psychological effects of disabilities on employment or independent living. School counselors help students develop academic and social skills. Career counselors and advisors help people choose a path to employment. Exercise physiologists develop fitness and exercise programs to help people improve their health. Athletes and sports competitors participate in organized, officiated sporting events to entertain spectators. Social workers help people prevent and cope with problems in their everyday lives."
280,Registered Nurse,86070.0,"Registered nurses (RNs) provide and coordinate patient care, educate patients and the public about various health conditions, and provide advice and emotional support to patients and their families.  Assess patients’ conditions Addiction nurses ","Registered nurses usually take one of three education paths: a bachelor’s degree in nursing, an associate’s degree in nursing, or a diploma from an approved nursing program. Registered nurses must be licensed.   Critical-thinking skills. ","Registered nurses work in hospitals, physicians’ offices, home healthcare services, and nursing care facilities. Others work in outpatient clinics and schools.","registered nurses.    Dental hygienists examine patients for signs of oral diseases, such as gingivitis, and provide preventive care, including oral hygiene. Diagnostic medical sonographers and cardiovascular technologists and technicians operate special equipment to create images or to conduct tests. Emergency medical technicians (EMTs) and paramedics assess injuries and illnesses, provide emergency medical care, and may transport patients to medical facilities. Licensed practical nurses (LPNs) and licensed vocational nurses (LVNs) provide basic medical care. Medical dosimetrists calculate doses of radiation and design and oversee treatment plans for patients with cancer and other serious diseases. Nurse anesthetists, nurse midwives, and nurse practitioners coordinate patient care and may provide primary and specialty healthcare. Physician assistants examine, diagnose, and treat patients under the supervision of a physician. Social workers help people prevent and cope with problems in their everyday lives. Respiratory therapists care for patients who have trouble breathing—for example, because of a chronic condition such as asthma."
281,Rehabilitation Counselor,44040.0,"Rehabilitation counselors work with clients to overcome or manage the personal, social, or psychological effects of disabilities on employment or independent living.  Provide individual and group counseling to help clients with a variety of issues vocational rehabilitation counselors ","Rehabilitation counselors typically need a master’s degree in rehabilitation counseling or a related field, although for some jobs a bachelor’s degree is sufficient. Some positions require a license or certification.   Communication skills. ",Rehabilitation counselors work in a variety of settings. Most work full time.,"rehabilitation counselors.    Marriage and family therapists diagnose and treat cognitive, behavioral, or similar disorders in the context of couples and other relationships. Occupational therapists evaluate and treat people who have injuries, illnesses, or disabilities to help them with vocational, daily living, and other skills that promote independence. Occupational therapy assistants and aides help occupational therapists provide treatments and procedures to clients, or they do routine tasks such as preparing treatment rooms. Psychologists study cognitive, emotional, and social processes and behavior by observing, interpreting, and recording how people relate to one another and to their environments. School counselors help students develop academic and social skills. Career counselors and advisors help people choose a path to employment. Social and human service assistants provide client services in a variety of fields, such as psychology, rehabilitation, and social work. Special education teachers work with students who have a wide range of learning, mental, emotional, and physical disabilities. Substance abuse, behavioral disorder, and mental health counselors advise people on a range of issues, such as those relating to alcoholism, addictions, or depression. Social workers help people prevent and cope with problems in their everyday lives. Social and community service managers coordinate and supervise programs and organizations that support public well-being."
282,Respiratory Therapist,77960.0,"Respiratory therapists care for patients who have trouble breathing—for example, because of conditions such as asthma or chronic obstructive pulmonary disease (COPD). Their patients range from premature infants with undeveloped lungs to older adults whose lungs are diseased.  Interview and examine patients with breathing or cardiopulmonary disorders  ",Respiratory therapists typically need an associate’s degree in respiratory therapy. Some employers prefer to hire candidates who have a bachelor’s degree. Respiratory therapists must be licensed in all states except Alaska; requirements vary by state.   Compassion. ,"Most respiratory therapists work full time. Because they may work in medical facilities that are always open, such as hospitals, they may have shifts that include nights, weekends, or holidays.","respiratory therapists.    Athletic trainers specialize in preventing, diagnosing, and treating muscle and bone injuries and illnesses. Exercise physiologists develop fitness and exercise programs to help people improve their health.  Occupational therapists evaluate and treat people who have injuries, illnesses, or disabilities to help them with vocational, daily living, and other skills that promote independence. Physical therapists help injured or ill people improve movement and manage pain. Radiation therapists administer doses of radiation to patients who have cancer or other serious diseases. Registered nurses (RNs) provide and coordinate patient care and educate patients and the public about various health conditions. Speech-language pathologists assess and treat people who have communication disorders."
283,Retail Sales Worker,33900.0,"Retail sales workers sell merchandise, such as furniture, motor vehicles, appliances, or apparel, to customers. They also sell spare and replacement parts and equipment.  Greet customers and offer them assistance Parts salespersons ","Retail sales workers typically do not need formal education to enter the occupation. However, some employers prefer to hire candidates who have a high school diploma or the equivalent. Most retail sales workers learn on the job.   Customer-service skills. ","Retail sales workers usually work in clean, well-lit stores. Most are employed full time. Schedules may vary, with evening and weekend work required in some jobs.","retail sales workers.    Cashiers process payments and disburse money in retail settings. Customer service representatives interact with customers to handle complaints, process orders, and answer questions. Information clerks perform routine clerical duties, maintain records, collect data, and provide information to customers. Insurance sales agents contact potential customers and sell one or more types of insurance. Real estate brokers and sales agents help clients buy, sell, and rent properties. Sales engineers sell business products or services, such as software or support, that require technical expertise. Securities, commodities, and financial services sales agents connect buyers and sellers in financial markets. Wholesale and manufacturing sales representatives sell goods for wholesalers or manufacturers to businesses, government agencies, and other organizations. Food and beverage serving and related workers take and prepare orders, clear tables, and do other tasks associated with providing food and drink to customers. Sales managers plan, direct, or coordinate the delivery of a product or service to the customer."
284,Roofer,50030.0,"Roofers replace, repair, and install the roofs of buildings, using a variety of materials, including shingles, bitumen, and metal.  Inspect problem roofs to determine the best way to repair them  ","There are no specific education requirements for roofers. Although most learn on the job, some roofers enter the occupation through an apprenticeship.   Ability to work at heights. ","Roofing work is physically demanding because it involves climbing, bending, kneeling, and heavy lifting. Roofers may work overtime in order to finish a particular job, especially during busy summer months.","roofers.    Carpenters construct, repair, and install building frameworks and structures made from wood and other materials. Construction laborers and helpers perform tasks, such as using, supplying, or holding materials or tools and cleaning work areas and equipment, on construction sites. Drywall and ceiling tile installers hang wallboard and install ceiling tile inside buildings. Tapers prepare the wallboard for painting. Flooring installers and tile and stone setters lay and finish carpet, wood, vinyl, tile, and other materials. Insulation workers install and replace the materials used to insulate buildings or mechanical systems. Masonry workers use bricks, concrete and concrete blocks, and natural and manmade stones to build structures. Sheet metal workers fabricate or install products that are made from thin metal sheets. Solar photovoltaic (PV) installers assemble, set up, and maintain rooftop or other systems that convert sunlight into energy."
285,Sales Engineer,116950.0,"Sales engineers sell business products or services, such as software or support, that require technical expertise.  Prepare and deliver presentations explaining technical products to existing and prospective customers  ","To enter the occupation, sales engineers typically need a bachelor’s degree. They combine technical knowledge of the products or services they sell with strong interpersonal skills.   Analytical skills. ",Sales engineers typically work in an office setting and often travel to meet with customers. Most sales engineers work full time.,"sales engineers.    Aerospace engineers design, develop, and test aircraft, spacecraft, satellites, and missiles. Computer hardware engineers research, design, develop, and test computer systems and components. Electrical engineers design, develop, test, and supervise the manufacture of electrical equipment. Industrial engineers design, develop, and test integrated systems for managing industrial production processes. Insurance sales agents contact potential customers and sell one or more types of insurance. Mechanical engineers design, develop, build, and test mechanical and thermal sensors and devices. Buyers and purchasing agents buy products and services for organizations. Purchasing managers oversee the work of buyers and purchasing agents. Securities, commodities, and financial services sales agents connect buyers and sellers in financial markets. Wholesale and manufacturing sales representatives sell goods for wholesalers or manufacturers to businesses, government agencies, and other organizations. Materials engineers develop, process, and test materials used to create a wide range of products."
286,Sales Manager,135160.0,"Sales managers plan, direct, or coordinate the delivery of a product or service to the customer. They set sales goals, analyze data, and develop training programs for organizations’ sales representatives.  Prepare budgets and approve expenditures  ","Sales managers typically need a bachelor’s degree and work experience as a sales representative. For some jobs, workers qualify with a high school diploma.   Analytical skills. ","Sales managers typically work in an office or retail setting. Most work full time, and some work more than 40 hours per week. They often are required to travel.","sales managers.    Advertising, promotions, and marketing managers plan programs to generate interest in products or services. Advertising sales agents sell promotional space to businesses and individuals. Market research analysts study consumer preferences, business conditions, and other factors to assess potential sales of a product or service. Retail sales workers sell merchandise, spare and replacement parts, and equipment to customers. Sales engineers sell business products or services, such as software or support, that require technical expertise. Wholesale and manufacturing sales representatives sell goods for wholesalers or manufacturers to businesses, government agencies, and other organizations. Public relations managers direct the creation of materials that will enhance the public image of their employer or client. Fundraising managers coordinate campaigns that bring in donations for their organization. Public relations specialists create and maintain a positive public image for the clients they represent. Buyers and purchasing agents buy products and services for organizations. Purchasing managers oversee the work of buyers and purchasing agents. Insurance sales agents contact potential customers and sell one or more types of insurance."
287,School or Career Counselor or Advisor,61710.0,"School counselors help students develop academic and social skills and plans for after graduation. Career counselors and advisors help students and other clients develop skills, explore an occupation, or choose an educational program that will lead to a career.  Help students understand and overcome social or behavioral challenges Elementary school counselors ",School counselors typically must have a master’s degree in school counseling or a related field and have a state-issued credential. Some states require licensure for career counselors and advisors.   Analytical skills. ,School counselors work in public and private schools. Career counselors and advisors are employed primarily in colleges and universities but also work in career centers and private practice. Both types of counselors usually work full time.,"school and career counselors and advisors.    High school teachers teach academic lessons and various skills that students will need to attend college and to enter the job market. Kindergarten and elementary school teachers instruct young students in basic subjects in order to prepare them for future schooling. Marriage and family therapists diagnose and treat cognitive, behavioral, or similar disorders in the context of couples and other relationships. Middle school teachers educate students, typically in sixth through eighth grades. Psychologists study cognitive, emotional, and social processes and behavior by observing, interpreting, and recording how people relate to one another and to their environments. Rehabilitation counselors work with clients to overcome or manage the personal, social, or psychological effects of disabilities on employment or independent living. Social and community service managers coordinate and supervise programs and organizations that support public well-being. Social and human service assistants provide client services in a variety of fields, such as psychology, rehabilitation, and social work. Substance abuse, behavioral disorder, and mental health counselors advise people on a range of issues, such as those relating to alcoholism, addictions, or depression. Training and development specialists plan and administer programs that improve the skills and knowledge of their employees."
288,Secretary or Administrative Assistant,46010.0,"Secretaries and administrative assistants do routine clerical and organizational tasks. They arrange files, prepare documents, schedule appointments, and support other staff.  Answer telephones and take messages or transfer calls Executive secretaries and executive administrative assistants ","High school graduates who are comfortable using word processing and spreadsheet programs typically qualify for entry-level positions. Although workers typically learn their duties over several weeks on the job, legal and medical secretaries and administrative assistants may need additional training to learn industry-specific terminology. Executive secretaries and executive administrative assistants typically need several years of related work experience.   Decision-making skills. ","Although secretaries and administrative assistants work in nearly every industry, about half of all workers in the occupation are employed in healthcare; education; and professional, scientific, and technical services. Most work full time.","secretaries and administrative assistants.    Bookkeeping, accounting, and auditing clerks compute, classify, and record data to help organizations keep complete and accurate financial records. Court reporters create word-for-word transcriptions at trials, depositions, and other legal proceedings. Simultaneous captioners provide similar transcriptions for television or for presentations in other settings, such as press conferences and business meetings, for people who are deaf or hard of hearing. General office clerks perform a variety of clerical tasks, including answering telephones, typing documents, and filing records. Information clerks perform routine clerical duties, maintain records, collect data, and provide information to customers. Medical records specialists compile, process, and maintain patient files. Medical transcriptionists use electronic devices to convert voice recordings from physicians and other healthcare workers into formal reports. Paralegals and legal assistants supportlawyersby performing a variety of tasks, such as maintaining and organizing files, conducting legal research, and drafting documents. Receptionists do tasks such as answering phones, receiving visitors, and providing information about their organization to the public. Financial clerks do administrative work, help customers, and carry out transactions that involve money. Travel agents sell transportation, lodging, and entertainment activities to individuals and groups planning trips."
289,"Securities, Commodities, or Financial Services Sales Agent",76900.0,"Securities, commodities, and financial services sales agents connect buyers and sellers in financial markets. They sell securities to individuals, advise companies in search of investors, and conduct trades.  Contact prospective clients to present information and explain available services Brokers ","Securities, commodities, and financial services sales agents typically need a bachelor’s degree for entry-level jobs. A master’s degree in business administration (MBA) is useful for advancement.   Analytical skills. ","Securities, commodities, and financial services sales agents work in high-stress environments and often work more than 40 hours per week.","securities, commodities, and financial services sales agents.    Financial analysts guide businesses and individuals in decisions about expending money to attain profit. Financial managers create financial reports, direct investment activities, and develop plans for the long-term financial goals of their organization. Insurance sales agents contact potential customers and sell one or more types of insurance. Personal financial advisors provide advice to help individuals manage their money and plan for their financial future. Real estate brokers and sales agents help clients buy, sell, and rent properties."
290,Security Guard or Gambling Surveillance Officer,37090.0,"Security guards and gambling surveillance officers protect property against theft, vandalism, and other illegal activity.  Patrol property Security guards ","Security guards and gambling surveillance officers typically require a high school diploma and on-the-job training. Gambling surveillance officers sometimes need experience with security and video surveillance. Most states require security guards to be licensed by the state, especially if they carry a firearm.  Be at least 18 years old Communication skills. ","Security guards work in a variety of places, including industrial settings, retail stores, and office buildings. Gambling surveillance officers work mostly in casinos. Because many buildings and casinos are open 24 hours a day, security guards and officers often must work around the clock.","security guards and gambling surveillance officers.    Correctional officers guard people in penal institutions and guard those in transit between jail, courtroom, prison, or other point. Bailiffs are law enforcement officers who maintain order in courtrooms. Gambling services workers serve customers in gambling establishments, such as casinos or racetracks. Police officers protect lives and property. Detectives and criminal investigators gather facts and collect evidence of possible crimes. Private detectives and investigators gather, analyze, and report information to clients regarding legal or personal matters. Firefighters control and put out fires and respond to emergencies involving life, property, or the environment."
291,Semiconductor Processing Technician,45850.0,"Semiconductor processing technicians perform tasks in the manufacture of electronic semiconductors, commonly known as integrated circuits or microchips, that are used in cars, smartphones, and other everyday devices. Throughout production, these workers process silicon crystals into flat wafers, the primary material used in manufacturing semiconductors.  Review work orders and processing charts  ","Semiconductor processing technicians typically need a high school diploma or the equivalent to enter the occupation. Some technicians complete a certificate or associate’s degree program. Once hired, they typically receive on-the-job training.   Communication skills.  ","Most semiconductor processing technicians are employed full time, primarily in manufacturing plants. They work in “cleanrooms” and must wear special garments over their clothing to keep the cleanroom free from contamination.","semiconductor processing technicians.    Assemblers and fabricators build finished products and the parts that go into them. Machinists and tool and die makers set up and operate equipment to produce precision metal parts, instruments, and tools. Quality control inspectors examine products and materials for defects or deviations from specifications. Chemical engineers apply the principles of chemistry, physics, and engineering to design equipment and processes for manufacturing products such as gasoline, detergents, and paper. Computer hardware engineers research, design, develop, and test computer systems and components. Electrical and electronic engineering technologists and technicians help engineers design and develop equipment that is powered by electricity or electric current. Electrical engineers design, develop, test, and supervise the manufacture of electrical equipment."
292,Set or Exhibit Designer,59490.0,"Set and exhibit designers develop visual and tactile spaces for entertainment productions or for a variety of displays. Set designers work on movies, television, theater, and other productions. Exhibit designers create spaces to showcase products, art, artifacts, or other displays.  Evaluate scripts or objects to be exhibited  ","Set and exhibit designers typically need a bachelor’s degree in theater design, exhibit design, or a related field. Some employers prefer to hire candidates who have a master’s degree.   Computer skills.  ","Many set and exhibit designers are self-employed. They may move from one short-term, full-time job to another, working for a series of employers rather than only one. These workers may be hired on a per-project or contract basis.","set and exhibit designers.    Architects plan and design houses, factories, office buildings, and other structures. Archivists and curators oversee institutions’ collections, such as of historical items or of artwork. Museum technicians and conservators prepare and restore items in those collections. Civil engineers plan, design, and supervise the construction and maintenance of building and infrastructure projects. Craft and fine artists use a variety of materials and techniques to create art for sale and exhibition. Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers. Industrial designers combine art, business, and engineering to develop the concepts for manufactured products. Interior designers make indoor spaces functional, safe, and beautiful by determining space requirements and selecting essential and decorative items. Landscape architects design parks and other outdoor spaces."
